bench,invocation,baseline_mean_us,aot_mean_us
matrix-multiplication,56,14797.0,14809.4
matrix-multiplication,57,24560.4,24455.8
matrix-multiplication,58,14838.4,15004.0
matrix-multiplication,59,26525.0,26259.0
matrix-multiplication,60,27247.8,26757.8
matrix-multiplication,61,25156.6,24547.8
matrix-multiplication,62,21761.8,18213.4
matrix-multiplication,63,16228.8,14456.2
matrix-multiplication,64,20124.2,19950.0
matrix-multiplication,65,15326.0,14956.8
matrix-multiplication,66,15713.4,15252.6
matrix-multiplication,67,14918.2,14843.8
matrix-multiplication,68,15213.0,15103.8
matrix-multiplication,69,14568.0,14559.6
matrix-multiplication,70,15991.0,14834.0
matrix-multiplication,71,14755.4,14647.0
matrix-multiplication,72,15783.0,15952.4
matrix-multiplication,73,14620.6,15259.8
matrix-multiplication,74,14922.6,14627.4
matrix-multiplication,75,18911.0,19287.0
matrix-multiplication,76,22976.4,25576.8
matrix-multiplication,77,15401.6,15537.4
matrix-multiplication,78,14797.0,14518.4
matrix-multiplication,79,15265.8,15240.8
matrix-multiplication,80,23912.6,26592.8
matrix-multiplication,81,15761.4,15097.6
matrix-multiplication,82,14963.6,18974.4
matrix-multiplication,83,15118.4,19061.0
matrix-multiplication,84,14863.8,22632.4
matrix-multiplication,85,14873.6,39272.4
matrix-multiplication,86,18714.8,30176.4
matrix-multiplication,87,25132.0,31816.4
matrix-multiplication,88,15503.2,20127.4
matrix-multiplication,89,25604.2,30348.0
matrix-multiplication,90,15383.6,19694.6
matrix-multiplication,91,25967.2,25205.8
matrix-multiplication,92,22659.8,26672.0
matrix-multiplication,93,14980.8,21297.2
matrix-multiplication,94,14931.8,17680.2
matrix-multiplication,95,15008.4,14467.0
matrix-multiplication,96,15356.8,15072.6
matrix-multiplication,97,14420.8,14178.6
matrix-multiplication,98,24845.6,20781.0
matrix-multiplication,99,18500.0,20528.4
matrix-multiplication,100,14734.8,16267.4
matrix-multiplication,101,15513.2,20154.2
matrix-multiplication,102,15145.6,16206.4
matrix-multiplication,103,15581.6,15148.0
matrix-multiplication,104,14656.0,14455.2
matrix-multiplication,105,15407.4,15010.4
matrix-multiplication,106,26715.6,24945.2
matrix-multiplication,107,25034.4,20006.2
matrix-multiplication,108,14826.6,14486.4
matrix-multiplication,109,15289.4,14809.6
matrix-multiplication,110,14889.2,14552.2
matrix-multiplication,111,25648.6,24480.4
matrix-multiplication,112,19587.4,19096.6
matrix-multiplication,113,14981.8,14762.6
matrix-multiplication,114,15460.0,14908.6
matrix-multiplication,115,15396.4,14811.4
matrix-multiplication,116,15174.4,14721.0
matrix-multiplication,117,14915.2,14599.0
matrix-multiplication,118,15197.4,15167.0
matrix-multiplication,119,15210.6,14869.4
matrix-multiplication,120,15383.4,15274.6
matrix-multiplication,121,15727.6,15253.6
matrix-multiplication,122,14905.8,14667.6
matrix-multiplication,123,16127.0,15828.2
matrix-multiplication,124,16241.8,14762.0
matrix-multiplication,125,20672.0,19536.0
matrix-multiplication,126,25367.4,25453.4
matrix-multiplication,127,15921.2,15314.4
matrix-multiplication,128,15316.4,14794.6
matrix-multiplication,129,15533.0,15331.8
matrix-multiplication,130,26137.4,26181.0
matrix-multiplication,131,24277.8,24187.2
matrix-multiplication,132,26524.0,26669.4
matrix-multiplication,133,15160.4,14768.6
matrix-multiplication,134,14837.0,14339.6
matrix-multiplication,135,25418.8,24930.4
matrix-multiplication,136,15370.2,15273.2
matrix-multiplication,137,15363.8,14903.8
matrix-multiplication,138,15677.8,15487.4
matrix-multiplication,139,26278.4,25718.2
matrix-multiplication,140,16184.2,15162.8
matrix-multiplication,141,14977.0,14625.0
matrix-multiplication,142,15540.0,15006.2
matrix-multiplication,143,25849.8,26693.2
matrix-multiplication,144,15609.8,14622.6
matrix-multiplication,145,14575.4,14252.6
matrix-multiplication,146,15555.2,15310.2
matrix-multiplication,147,14835.6,14745.6
matrix-multiplication,148,14764.8,14568.6
matrix-multiplication,149,15021.4,14981.4
matrix-multiplication,150,25754.2,25792.6
matrix-multiplication,151,22012.6,21542.6
matrix-multiplication,152,26506.6,26415.6
matrix-multiplication,153,22762.2,23173.0
matrix-multiplication,154,15024.2,15032.6
matrix-multiplication,155,24079.2,24712.2
matrix-multiplication,156,26794.8,23933.0
matrix-multiplication,157,25949.4,22477.6
matrix-multiplication,158,26975.4,26602.6
matrix-multiplication,159,25605.4,24823.0
matrix-multiplication,160,14856.6,14663.2
matrix-multiplication,161,15131.6,15036.6
matrix-multiplication,162,15930.8,15593.0
matrix-multiplication,163,15157.4,14769.2
matrix-multiplication,164,19278.4,21534.6
matrix-multiplication,165,14980.2,14864.6
matrix-multiplication,166,15143.0,14816.0
matrix-multiplication,167,15288.4,14768.0
matrix-multiplication,168,20349.6,24351.0
matrix-multiplication,169,15056.8,14502.6
matrix-multiplication,170,15447.8,15022.4
matrix-multiplication,171,26893.0,26447.4
matrix-multiplication,172,25174.0,24546.6
matrix-multiplication,173,15279.0,14910.8
matrix-multiplication,174,14287.2,14428.6
matrix-multiplication,175,20037.6,20427.8
matrix-multiplication,176,15409.2,15167.0
matrix-multiplication,177,15534.8,15896.8
matrix-multiplication,178,25883.2,26336.6
matrix-multiplication,179,15561.6,14869.6
matrix-multiplication,180,14752.0,14965.8
matrix-multiplication,181,15314.8,15222.0
matrix-multiplication,182,14917.8,14676.6
matrix-multiplication,183,15342.8,14995.2
matrix-multiplication,184,14715.4,14420.4
matrix-multiplication,185,15077.6,14990.2
matrix-multiplication,186,15359.6,15502.8
matrix-multiplication,187,14693.0,14622.0
matrix-multiplication,188,21238.2,21361.2
matrix-multiplication,189,14989.2,14996.8
matrix-multiplication,190,22580.4,22586.8
matrix-multiplication,191,26284.4,24621.2
matrix-multiplication,192,23940.8,19603.4
matrix-multiplication,193,15213.0,14645.4
matrix-multiplication,194,15419.4,15096.6
matrix-multiplication,195,27143.6,26160.6
matrix-multiplication,196,25019.8,24452.8
matrix-multiplication,197,14990.2,14560.2
matrix-multiplication,198,19157.2,24382.0
matrix-multiplication,199,18842.8,19243.0
matrix-multiplication,200,14955.0,14663.0
matrix-multiplication,201,15495.8,15223.8
matrix-multiplication,202,15016.0,14778.4
matrix-multiplication,203,22346.8,21962.2
matrix-multiplication,204,15471.0,15293.8
matrix-multiplication,205,15482.8,15213.8
matrix-multiplication,206,14978.2,14810.2
matrix-multiplication,207,15359.4,15137.2
matrix-multiplication,208,27097.0,27494.6
matrix-multiplication,209,15276.2,15010.0
matrix-multiplication,210,14879.2,14651.2
matrix-multiplication,211,15023.4,14971.8
matrix-multiplication,212,19314.8,18032.6
matrix-multiplication,213,15576.8,15610.4
matrix-multiplication,214,20419.8,21395.6
matrix-multiplication,215,23037.6,25181.6
matrix-multiplication,216,15044.2,14806.2
matrix-multiplication,217,23628.2,25535.2
matrix-multiplication,218,20974.8,23039.0
matrix-multiplication,219,26102.6,26025.8
matrix-multiplication,220,24513.0,24264.0
matrix-multiplication,221,26765.2,26500.0
